Title,Year,Franchise,Ref.
10 Cloverfield Lane,2016,Cloverfield,[1]
20 Million Miles to Earth,1957,One-Shot[2]
2001: A Space Odyssey,1968,Space Odyssey,[3]
2001: A Space Travesty,2000,One-Shot[4]
2010: The Year We Make Contact,1984,Space Odyssey,[5]
The 5th Wave,2016,[6]
6 Days on Earth,2011,[7]
Abbott and Costello Go to Mars,1953,Abbott and Costello,[8]
"Abraxas, Guardian of the Universe",1990,[9]
Absolutely Anything,2015,[3]
The Abyss,1989,[10]
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,[10]
Aelita,1924,[11]
After Earth,2013,[3]
Airplane II: The Sequel,1982,Airplane,[12]
Algol: Tragedy of Power,1920,[10]
Alien,1979,Alien[10]
Alien 2: On Earth,1980,[13]
Alien 3,1992,Alien[9]
Alien Abduction,2005,[14]
Alien Abduction,2014,[15]
Alien Abduction: Incident in Lake County,1998,[16]
Alien Agent,2007,[17]
Alien Apocalypse,2005,[18]
Alien Arsenal,1999,[19]
Alien: Covenant,2017,Alien[20]
The Alien Factor,1978,[21]
Alien Hunter,2003,[22]
Alien Intruder,1993,[23]
Alien Invasion Arizona,2005,[24]
Alien Nation,1988,Alien Nation,[10]
Alien Origin,2012,[25]
Alien Raiders,2008,[26]
Alien Resurrection,1997,Alien[27]
Alien Siege,2005,
Alien Trespass,2009,[28]
Aliens,1986,Alien[29]
Aliens Ate My Homework,2018,[30]
Aliens in the Attic,2009,[31]
Aliens vs. Avatars,2011,[32]
Alien vs. Predator,2004,Alien vs. Predator[3]
Aliens vs. Predator: Requiem,2007,Alien vs. Predator[33]
Alien vs Ninja,2010,[34]
Allegro Non Troppo,1976,[35]
Almost Human,2013,[36]
Altered,2006,[36]
All-Star Superman,2011,DC - Superman
Amazon Women on the Moon,1987,[37]
The Andromeda Strain,1971,[38]
The Angry Red Planet,1959,[39]
Angry Video Game Nerd: The Movie,2014,[40]
Annihilation,2018,[41]
Apollo 18,2011,[42]
Area 51,2015,[43]
Area Q,2011,[44]
Arena,1989,[45]
The Arrival,1996,Arrival[33]
Arrival,2016,[46]
Arrival II,1998,Arrival[47]
Los astronautas,1964,[48]
The Astronaut's Wife,1999,[49]
Attack of the 50 Foot Woman,1958,Attack of the 50 Foot Woman[50]
Attack of the 50 Ft. Woman (TV),1993,Attack of the 50 Foot Woman[50]
Attack the Block,2011,[51]
Atom Man vs. Superman (serial),1950,DC - Superman
Attraction,2017,
Avatar,2009,Na'vi[10]
Avatar: The Way of Water,2022,Na'vi[10]
The Avengers,2012,Marvel - MCU [10]
Avengers: Age of Ultron,2015,Marvel - MCU [52]
Avengers: Infinity War,2018,Marvel - MCU [53]
Avengers: Endgame,2019,Marvel - MCU
AVH: Alien vs. Hunter,2007,[32]
Babylon 5: A Call to Arms (TV),1999,
Babylon 5: The Gathering (TV),1993,[54]
Babylon 5: In the Beginning (TV),1998,[55]
Babylon 5: The Legend of the Rangers,2002,
Babylon 5: The Lost Tales (TV),2007,
Babylon 5: The River of Souls (TV),1998,
Babylon 5: Thirdspace (TV),1998,
Bad Taste,1987,[9]
Barbarella,1968,[10]
Batman v Superman: Dawn of Justice,2016,DC Extended Universe[56]
Batteries Not Included,1988,[57]
Battle Beyond the Stars,1980,[58]
Battlefield Earth,2001,[33]
Battle for Terra,2007,[59]
Battle in Outer Space,1959,Godzilla[60]
Battle: Los Angeles,2011,[33]
Battleship,2012,[33]
Batman: Hush,2019,DC Animated Movie Universe
Ben 10: Alien Swarm,2009,Ben 10[61]
Ben 10: Race Against Time,2007,Ben 10[62]
Ben 10: Destroy All Aliens,2012,Ben 10
Beware! The Blob,1972,The Blob[63]
Beyond Skyline,2017,Skyline
Bill & Ted's Bogus Journey,1991,Bill & Ted[57]
Black Antenna,2019,[64]
The Blob,1958,The Blob[10]
The Blob,1988,The Blob[65]
Bloodbath at the House of Death,1983,[66]
Bloodsuckers from Outer Space,1984,[67]
Body Snatchers,1993,Body Snatchers[68]
The Brain,1988,[69]
The Brain from Planet Arous,1957,[70]
Breeders,1986,[71]
Brightburn,2019,
The Brother from Another Planet,1984,[72]
Buck Rogers (serial),1939,Buck Rogers
Buzz Lightyear of Star Command: The Adventure Begins,2000,Toy Story[73]
The Cabbage Soup,1981,
Can of Worms,1999,[74]
The Cape Canaveral Monsters,1960,[75]
Captain Marvel,2019,Marvel - MCU
Captain Video: Master of the Stratosphere (serial),1951,Captain Video and His Video Rangers
Captive State,2019,
Caravan of Courage: An Ewok Adventure (TV),1984,Star Wars[3]
The Cat,1992,[76]
The Cat from Outer Space,1978,[9]
Cat-Women of the Moon,1953,[77]
Ché OVNI,1968,[78]
Chicken Little,2005,[79]
Children of the Damned,1964,...of the Damned[80]
Christmas on Mars,2008,[81]
The Chronicles of Riddick,2004,The Chronicles of Riddick[82]
CJ7,2008,[57]
Close Encounters of the Third Kind,1977,[72]
Cloverfield,2008,Cloverfield[83]
The Cloverfield Paradox,2018,Cloverfield
Cocoon,1985,Cocoon[10]
Cocoon: The Return,1988,Cocoon[84]
Color Out of Space,2019,
Commando Cody: Sky Marshal of the Universe (serial),1953,Commando Cody
Communion,1989,[36]
Coneheads,1993,[10]
Contact,1997,[85]
Cowboys & Aliens,2011,[3]
Creature,1985,[86]
The Creature Wasn't Nice,1983,[87]
The Creeping Terror,1964,[88]
Creepshow,1982,,[89]
Critters,1986,Critters[10]
Critters 2: The Main Course,1988,Critters[90]
Critters 3,1991,Critters[90]
Critters 4,1992,Critters[90]
Critters Attack!,2019,Critters[90]
The Curse,1987,[91]
Daleks' Invasion Earth 2150 A.D.,1966,Doctor Who[92]
Dark City,1998,[33]
The Dark Crystal,1982,[93]
Darkening Sky,2010,[94]
The Darkest Hour,2011,[95]
Dark Skies,2013,[36]
Dark Star,1974,[96]
Dark Universe,1993,[97]
The Day Mars Invaded Earth,1963,[98]
The Day of the Triffids,1962,[9]
The Day the Earth Stood Still,1951,[72]
The Day the Earth Stood Still,2008,The Day the Earth Stood Still[99]
The Day the Earth Stopped,2008,[100]
The Day the World Ended,2001,
The Deadly Spawn,1983,[101]
Deadpool 2,2018,Marvel - X-Men [102]
The Death of Superman,2018,DC Animated Movie Universe
Decoys,2004,Decoys [103]
Decoys 2: Alien Seduction,2007,Decoys [104]
Destroy All Monsters,1968,Godzilla[105]
Devil Girl from Mars,1954,[106]
District 9,2009,[51]
Doctor Strange,2016,Marvel - MCU[107]
Doctor Who,1996,Doctor Who [108]
Don't Look Up,2021,[109]
Doom,2005,[110]
Dragonball Evolution,2009,[111]
Dr. Alien,1989,[112]
Dreamcatcher,2003,[10]
Dr. Who and the Daleks,1965,Doctor Who[113]
"Dude, Where's My Car?",2000,[114]
Dune,1984,Dune[10]
Dune,2021,Dune[10]
Dune Drifter,2020,
E.T. the Extra-Terrestrial,1982,[72]
Earth Girls Are Easy,1988,[10]
Earth to Echo,2014,[57]
Earth vs. the Flying Saucers,1956,[51]
Edge of Tomorrow,2014,[51]
Ender's Game,2013,[115]
Enemy Mine,1985,[33]
Escape from Planet Earth,2013,
Escape to Witch Mountain,1975,Escape to Witch Mountain[116]
Escape to Witch Mountain (TV),1995,Escape to Witch Mountain[117]
Eternals,2021,[118][119]
Europa Report,2013,[29]
Evolution,2001,[120]
Ewoks: The Battle for Endor (TV),1985,Star Wars[121]
Excursion to the Moon,1908,[122]
Explorers,1985,[123]
Extinction,2018,[124]
Extraterrestrial,2011,[125]
Extraterrestrial,2014,[36]
The Eye Creatures,1965,[126]
The Faculty,1998,[33]
Fantastic Four: Rise of the Silver Surfer,2007,Marvel - Fantastic Four[127]
Fantastic Planet,1973,[96]
Feeders,1996,[32]
The Fifth Element,1997,[29]
Fire in the Sky,1993,[128]
Fire Maidens from Outer Space,1956,[129]
First Men in the Moon,1964,The First Men in the Moon[130]
First Spaceship on Venus,1962,[131]
Flash Gordon (serial),1936,Flash Gordon[132]
Flash Gordon,1980,Flash Gordon[10]
Flash Gordon Conquers the Universe (serial),1940,Flash Gordon[133]
Flash Gordon's Trip to Mars (serial),1938,Flash Gordon
Flesh Gordon,1974,Flesh Gordon[9]
Flesh Gordon Meets the Cosmic Cheerleaders,1989,Flesh Gordon[134]
Flight of the Navigator,1986,[9]
Flight to Mars,1950,[135]
The Flintstones in Viva Rock Vegas,2000,The Flintstones[136]
Flying Disc Man from Mars (serial),1950,[137]
Flying Saucer Rock'n'Roll,1997,[138]
Forbidden Planet,1956,[96]
Forbidden World,1982,[139]
The Forgotten,2004,[140]
The Fourth Kind,2009,[36]
Frankenstein Island,1981,Frankenstein[32]
Frankenstein Meets the Space Monster,1965,Frankenstein[141]
Freaks of Nature,2015,[142]
Futurama: Bender's Big Score (TV),2007,Futurama[143]
Futurama: The Beast with a Billion Backs (TV),2008,Futurama[144]
Galaxy Invader,1985,[145]
Galaxy of Terror,1981,[9]
Galaxy Quest,1999,[29]
Gamera: Super Monster,1980,Gamera[146]
Gamera vs. Viras,1968,Gamera[147]
Gamera vs. Zigra,1971,Gamera[148]
The Gendarme and the Extra-Terrestrials,1979,Le gendarme series
"Ghidorah, the Three-Headed Monster",1964,Godzilla[149]
Ghosts of Mars,2001,[150]
The Giant Spider Invasion,1975,[151]
God Told Me To,1976,[152]
Godzilla 2000,1999,Godzilla[153]
Godzilla: Final Wars,2004,Godzilla[154]
Godzilla vs. Gigan,1972,Godzilla[155],
Godzilla vs. Hedorah,1971,Godzilla,
Godzilla: King of the Monsters,2019,Godzilla[156][157]
Godzilla vs. Mechagodzilla,1974,Godzilla[158],
Godzilla vs. SpaceGodzilla,1994,Godzilla[159]
Godzilla vs. Destoroyah,1995,Godzilla
"Goke, Body Snatcher from Hell",1968,One-shot,[160]
Good Boy!,2003,[161]
Grabbers,2012,[162]
Green Lantern,2011,DC - Green Lantern[163]
Green Lantern: First Flight,2014,DC - Green Lantern
The Green Slime,1968,[164]
Guardians of the Galaxy,2014,Marvel - MCU[29]
Guardians of the Galaxy Vol. 2,2017,Marvel - MCU[165]
Hangar 18,1980,[166]
HappinessCharge PreCure! the Movie: The Ballerina of the Land of Dolls,2014,Pretty Cure
Hardware Wars,1978,[167]
"Have Rocket, Will Travel",1959,The Three Stooges[168]
Heavy Metal,1981,Heavy Metal[169]
Heavy Metal 2000,2000,Heavy Metal[170]
H.G. Wells' The War of the Worlds,2005,The War of the Worlds[171]
H.G. Wells' War of the Worlds,2005,The War of the Worlds[172]
The Hidden,1987,Hidden[173]
The Hidden II,1993,Hidden [174] Hidden 2015
Highlander II: The Quickening,1991,Highlander[175]
High Plains Invaders (TV),2009,[176]
The Hitchhiker's Guide to the Galaxy,2005,[10]
Hobgoblins,1988,[177]
Home,2015,[3]
Honeymoon,2014,[36]
Horror Express,1972,[178]
The Host,2013,[179]
How to Talk to Girls at Parties,2018,[180]
Howard the Duck,1986,Marvel - Howard [9]
I Am Number Four,2011,[181]
I Come in Peace,1990,[182]
Illegal Aliens,2007,[183]
I Married a Monster from Outer Space,1958,[1]
Impostor,2002,[33]
Independence Day,1996,Independence Day[51]
Independence Day: Resurgence,2016,Independence Day[184]
Indiana Jones and the Kingdom of the Crystal Skull,2008,Indiana Jones[9]
Infected (TV),2008,[185]
Inseminoid,1981,[186]
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,[187]
Invader Zim: Enter the Florpus,2019,Invader Zim
Invaders from Mars,1953,Invaders from Mars[51]
Invaders from Mars,1986,Invaders from Mars[188]
Invasion,1966,[189]
The Invasion,2007,Body Snatchers[33]
Invasion from Inner Earth,1974,[32]
Invasion of Astro-Monster,1965,Godzilla[190]
Invasion of the Body Snatchers,1956,Body Snatchers[51]
Invasion of the Body Snatchers,1978,[51]
Invasion of the Neptune Men,1961,[32]
Invasion of the Saucer Men,1957,[183]
Invasion of the Star Creatures,1962,[191]
Invisible Invaders,1959,[192]
The Iron Giant,1999,[72]
Iron Invader,2011,[193]
It: Chapter One,2017,IT[194]
It Chapter Two,2019,IT
It Came from Outer Space,1953,[195]
It Conquered the World,1956,[196]
It! The Terror from Beyond Space,1958,[197]
I Was a Zombie for the F.B.I.,1982,[198]
Jetsons: The Movie,1990,Jetsons[199]
Jimmy Neutron: Boy Genius,2001,Jimmy Neutron[200]
Jiu Jitsu,2020,[201]
John Carter,2012,Barsoom[3]
Joker,2012,[202]
Journey to the Seventh Planet,1962,[203]
Jupiter Ascending,2015,[204]
Justice League,2017,DC Extended Universe [205]
Justice League Dark,2017,DC Animated Movie Universe
Justice League Dark: Apokolips War,2020,DC Animated Movie Universe
Justice League: Crisis on Two Earths,2010,DC
Justice League: Doom,2012,DC
Justice League: The Flashpoint Paradox,2011,DC Animated Movie Universe
Justice League: The New Frontier,2008,DC
Justice League: Throne of Atlantis,2011,DC Animated Movie Universe
Justice League: War,2014,DC Animated Movie Universe
Justice League vs. the Fatal Five,2019,DC
Just Imagine,1930,
Kalai Arasi,1963,
Killer Klowns from Outer Space,1988,[10]
Killers from Space,1954,[206]
Kin-dza-dza!,1986,[207]
Knowing,2009,[208]
Koi... Mil Gaya,2003,Krrish[209]
Kronos,1957,[1]
Krrish 3,2013,Krrish[210]
Krull,1983,[211]
The Last Starfighter,1984,[10]
Leroy & Stitch,2006,Lilo and Stitch[212]
Life,2017,[213]
Lifeforce,1985,[195]
Lifted,2006,[214]
Lightyear,2022,Toy Story
Lilo & Stitch,2002,Lilo and Stitch[57]
Lilo & Stitch 2: Stitch Has a Glitch,2005,Lilo and Stitch[215]
Little Shop of Horrors,1986,Little Shop of Horrors[72]
Liquid Sky,1982,[216]
Looney Tunes: Back in Action,2003,Looney Tunes [217]
Lost in Space,1998,Lost in Space[218]
The Lost Skeleton of Cadavra,2001,[219]
Mac and Me,1988,McDonalds[96]
The Man from Planet X,1951,[220]
Man of Steel,2013,DC Extended Universe[221]
The Man Who Fell to Earth,1976,[72]
The Man Who Wasn't There,2001,[222]
Mars Attacks!,1996,[51]
Mars Needs Moms,2011,[223]
Mars Needs Women (TV),1967,[224]
Martians Go Home,1990,[225]
Max Steel,2016,Max Steel[226]
Meatball Machine,2005,[227]
Meatballs Part II,1984,Meatballs[228]
Meet Dave,2008,[229]
Megamind,2010,[57]
Men in Black,1997,Men in Black[10]
Men in Black II,2002,Men in Black[230]
Men in Black 3,2012,Men in Black[231]
Men in Black: International,2019,Men in Black,
A Message from Mars,1913,
Metamorphosis: The Alien Factor,1990,[232]
Mighty Morphin Power Rangers: The Movie,1995,Power Rangers[233]
The Miracle of P. Tinto,1998,[234]
Mission to Mars,2000,[235]
Missile to the Moon,1958,[236]
Mom and Dad Save the World,1992,[237]
Monsters,2010,Monsters[33]
Monsters: Dark Continent,2014,Monsters[238]
Monsters vs. Aliens,2009,[239]
Monster X Strikes Back: Attack the G8 Summit,2008,[240]
Los Monstruos del Terror,1970,Waldemar Daninsky series[241]
Monty Python's Life of Brian,1979,Monty Python[242]
Moonfall,2022,
Morons from Outer Space,1985,[243]
Münchhausen,1943,Baron Munchausen
Muppets from Space,1999,Muppets[244]
Mutant Swinger from Mars,2009,[245]
My Favorite Martian,1999,[246]
My Stepmother Is an Alien,1988,[247]
The Mysterians,1957,Godzilla[248]
New Mutants,2020,Marvel - X-Men [249][250]
Nightbeast,1982,[251]
Night Caller from Outer Space,1966,[252]
Night of the Blood Beast,1958,[196]
Night of the Creeps,1986,[253]
Night Skies,2007,[254]
Not of This Earth,1957,Not of This Earth[255]
Not of This Earth,1988,Not of This Earth[256]
Nowhere,1997,[257]
Nude on the Moon,1961,[258]
Nukie,1987,[32]
Oblivion,1994,
Oblivion,2013,[1]
Occupation,2018,
Ōgon Bat,1966,,[259]
Outlander,2008,Beowulf[260]
Pacific Rim,2013,Pacific Rim[72]
Pacific Rim Uprising,2018,Pacific Rim[72]
Pajama Party,1964,Beach Party[261]
Pandorum,2009,[262]
Paul,2011,[10]
Parasyte: Part 1,2014,Parasyte(part 1 of 2)[263]
Parasyte: Part 2,2015,Parasyte(part 2 of 2)[264]
Pee-wee's Big Holiday,2016,Pee-wee[265]
PG: Psycho Goreman,2020,[266][267]
Phantom from Space,1953,[268]
Phineas and Ferb the Movie: Candace Against the Universe,2020,Phineas and Ferb
Phoenix Forgotten,2017,[269]
The Phoenix Incident,2015,
Pinocchio in Outer Space,1965,[270]
Pitch Black,2000,The Chronicles of Riddick[65]
Pixels,2015,Pac-Man[271]
Plan 9 from Outer Space,1959,[10]
Plan 10 from Outer Space,1994,[272]
Planet 51,2009,[273]
Planeta Bur,1962,[274]
Planet of the Vampires,1965,[275]
The Pod People,1983,[228]
Power Rangers,2017,Power Rangers[276]
Predator,1987,Predator[10]
Predator 2,1990,Predator[96]
Predators,2010,Predator[96]
The Predator,2018,Predator
Princess of Mars,2009,Barsoom[277]
Progeny,1999,[36]
Project ALF,1996,ALF[278]
Prometheus,2012,Alien[3]
The Puppet Masters,1994,[279]
The Purple Monster Strikes (serial),1945,
The Quatermass Xperiment,1955,Quatermass[280]
Quatermass 2,1957,Quatermass[1]
Quatermass and the Pit,1967,Quatermass[1]
Queen of Blood,1966,[281]
Queen of Outer Space,1958,[183]
A Quiet Place,2018,A Quiet Place[282]
A Quiet Place Part II,2021,A Quiet Place
Race to Witch Mountain,2009,Escape to Witch Mountain[283]
Radar Men from the Moon (serial),1952,Commando Cody
Ratchet & Clank,2016,
Real Men,1987,[284]
The Recall,2017,[285]
Red Planet,2000,[286]
Reign of the Supermen,2019,DC Animated Movie Universe
Repo Man,1984,[287]
Returner,2002,[288]
Return from Witch Mountain,1978,Escape to Witch Mountain[289]
Robinson Crusoe on Mars,1964,Robinson Crusoe[290]
Robot Monster,1953,[10]
Rocketship X-M,1950,[291]
The Rocky Horror Picture Show,1975,The Rocky Horror Picture Show[10]
The Rocky Horror Picture Show: Let's Do the Time Warp Again,2016,The Rocky Horror Picture Show[292]
Rogue One: A Star Wars Story,2016,Star Wars[293]
Santa Claus Conquers the Martians,1964,[294]
Scary Movie 3,2003,Scary Movie[295]
Scary Movie 4,2006,Scary Movie[296]
Scooby-Doo and the Alien Invaders,2000,Scooby-Doo[297]
The Shadow Men,1998,[298]
Shazam!,2019,DC Extended Universe
A Shaun the Sheep Movie: Farmageddon,2019,Wallace and Gromit
The Signal,2014,[36]
Signs,2002,[33]
Silent Warnings,2003,[299]
Skyline,2010,Skyline [3]
Skylines,2020,Skyline[300]
Slither,2006,[33]
Solaris (TV),1972,[301]
Solaris,2002,[302]
Solo: A Star Wars Story,2018,Star Wars
Sonic the Hedgehog,2020,Sonic the Hedgehog [303][304]
Sonic the Hedgehog 2,2022,Sonic the Hedgehog
Spaceballs,1987,[305]
Spaced Invaders,1990,[9]
Spacehunter: Adventures in the Forbidden Zone,1983,[306]
Space Invasion of Lapland,1959,[307]
Space Jam,1996,Looney Tunes[308]
Space Probe Taurus,1965,[309]
Space Travelers: The Animation,2000,[310]
Species,1995,Species[10]
Species II,1998,Species[311]
Species III,2004,Species[312]
Species – The Awakening,2007,Species[313]
Spice World,1997,[314]
Spider-Man: Far From Home,2019,Marvel - MCU[315]
Spider-Man 3,2007,Marvel - Spider-Man[9]
Starcrash,1978,[316]
Star Crystal,1986,
Stargate,1994,Stargate[317]
Starman,1984,[72]
Star Odyssey,1978,[318]
Starship Invasions,1977,[319]
Starship Troopers,1997,StarShip Troopers[51]
Starship Troopers 2: Hero of the Federation,2004,StarShip Troopers[320]
Starship Troopers 3: Marauder,2008,StarShip Troopers[321]
Starship Troopers: Invasion,2012,StarShip Troopers[322]
Starship Troopers: Traitor of Mars,2017,StarShip Troopers[323]
Star Trek,2009,Star Trek[57]
Star Trek Beyond,2016,Star Trek[324]
Star Trek: First Contact,1996,Star Trek[10]
Star Trek Generations,1994,Star Trek[325]
Star Trek: Insurrection,1998,Star Trek[326]
Star Trek Into Darkness,2013,Star Trek[327]
Star Trek: Nemesis,2002,Star Trek[328]
Star Trek: The Motion Picture,1979,Star Trek[10]
Star Trek II: The Wrath of Khan,1982,Star Trek[329]
Star Trek III: The Search for Spock,1984,Star Trek[330]
Star Trek IV: The Voyage Home,1986,Star Trek[331]
Star Trek V: The Final Frontier,1989,Star Trek[332]
Star Trek VI: The Undiscovered Country,1991,Star Trek[333]
Star Wars: Episode I – The Phantom Menace,1999,Star Wars[334]
Star Wars: Episode II – Attack of the Clones,2002,Star Wars[335]
Star Wars: Episode III – Revenge of the Sith,2005,Star Wars[336]
Star Wars: Episode IV - A New Hope,1977,Star Wars[10]
Star Wars: Episode V - The Empire Strikes Back,1980,Star Wars[10]
Star Wars: Episode VI - Return of the Jedi,1983,Star Wars[57]
Star Wars: Episode VII - The Force Awakens,2015,Star Wars[337]
Star Wars: Episode VIII - The Last Jedi,2017,Star Wars[338]
Star Wars: Episode IX - The Rise of Skywalker,2019,Star Wars
Star Wars: The Clone Wars,2008,Star Wars[339]
Star Wars Holiday Special (TV),1978,Star Wars[340]
Stepsister from Planet Weird,2000,[341]
Steven Universe: The Movie,2019,
Stitch! The Movie,2003,Lilo and Stitch[342]
Stranded,1987,[343]
Strange Invaders,1983,[344]
Suburban Commando,1991,[345]
The Suicide Squad,2021,DC Extended Universe
Super 8,2011,[10]
Supergirl,1984,DC - Superman[346]
Superlópez,2018,[347]
Superman (serial),1948,DC - Superman
Superman,1978,DC - Superman[10]
Superman and the Mole Men,1951,DC - Superman
Superman/Batman: Apocalypse,2010,DC - Superman [348]
Superman/Batman: Public Enemies,2009,DC - Superman [349]
Superman: Brainiac Attacks,2006,DC - Superman
Superman II,1980,DC - Superman[195]
Superman III,1983,DC - Superman[350]
Superman IV: The Quest for Peace,1987,DC - Superman[351]
Superman: Doomsday,2007,[352]
Superman: Man of Tomorrow,2020,DC - Superman
Superman: Red Son,2020,DC - Superman
Superman Returns,2006,DC - Superman[353]
Superman: Unbound,2013,DC - Superman
Superman vs. The Elite,2012,DC - Superman
Supersonic Man,1979,[354]
Tales of Halloween,2015,One-shot,[355]
Target Earth,1954,[356]
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Teenage Mutant Ninja Turtles[357]
Teenagers from Outer Space,1959,[358]
Teen Titans Go! To the Movies,2018,Teen Titans Go![359][360]
The Terrornauts,1967,[361]
The Whisperer in Darkness (film),2011,[362][363]
Terror of Mechagodzilla,1975,Godzilla[364]
TerrorVision,1987,[9]
They Came from Beyond Space,1967,[361]
They Live,1988,[51]
The Thing,1982,Who Goes There?[51]
The Thing,2011,Who Goes There?[365]
The Thing from Another World,1951,Who Goes There?[51]
This Island Earth,1955,[10]
Thor,2011,Marvel - MCU[366]
Thor: The Dark World,2013,Marvel - MCU[367]
Thor: Love and Thunder,2022,Marvel - MCU
Thor: Ragnarok,2017,Marvel - MCU[368]
The Three Stooges in Orbit,1962,The Three Stooges[369]
Thunderbirds Are Go,1966,Thunderbirds[370]
Titan A.E.,2000,[371]
Tom and Jerry: Blast Off to Mars,2005,Tom and Jerry[372]
Too Many Cooks,2014,[373]
Toomorrow,1970,[361]
Transformers,2007,Transformers[10]
The Transformers: The Movie,1986,Transformers[374]
Transformers: Age of Extinction,2014,Transformers[375]
Transformers: Dark of the Moon,2011,Transformers[3]
Transformers: Revenge of the Fallen,2009,Transformers[9]
Transformers: The Last Knight,2017,Transformers[376]
Transformers: Bumblebee,2018,Transformers
Transmorphers,2007,Transmorphers[377]
Transmorphers: Fall of Man,2009,Transmorphers[378]
Treasure Planet,2002,One-Shot[379]
A Trip to Mars (Himmelskibet),1918,[380]
A Trip to the Moon,1902,From the Earth to the Moon[85]
The Trollenberg Terror,1958,[381]
Tropico,2013,[382]
Turbo: A Power Rangers Movie,1997,Power Rangers[383]
U.F.O.,1993,[384]
U.F.O.,2012,[385]
UFO Abduction,1989,[386]
The UFO Incident,1975,[36]
UHF,1989,[65]
Ultimate Avengers - The Movie,2006,Marvel - Animated [387]
Unaware,2013,[388]
Under the Mountain,2009,[389]
Under the Skin,2013,[72]
Valerian and the City of a Thousand Planets,2017,[390]
Vampirella,1996,[391]
The Vast of Night,2019,
Venom,2018,Marvel - Sony's Spider-Man Universe
Venom: Let There Be Carnage,2021,Marvel - Sony's Spider-Man Universe
V/H/S,2012,V/H/S [392]
V/H/S/2,2013,V/H/S[393]
Village of the Damned,1960,...of the Damned[9]
Village of the Damned,1995,...of the Damned[394]
Virus,1999,[395]
The Visitor,1979,[396]
Visit to a Small Planet,1960,[397]
Voyage of the Rock Aliens,1984,[398]
Voyage to the Planet of Prehistoric Women,1968,[399]
Voyage to the Prehistoric Planet,1965,[400]
Warlords of Atlantis,1978,[401]
War of the Planets,1966,[402]
The War of the Worlds,1953,The War of the Worlds[51]
War of the Worlds,2005,The War of the Worlds[51]
War of the Worlds 2: The Next Wave,2008,The War of the Worlds[403]
War of the Worlds: Goliath,2012,The War of the Worlds
War of the Worlds: The True Story,2012,The War of the Worlds[404]
Warning from Space,1956,[405]
The Watch,2012,[406]
Wavelength,1983,
Welcome to the Space Show,2010,[407]
What on Earth!,1966,[408]
What Planet Are You From?,2000,[409]
When the Man in the Moon Seeks a Wife,1908,,[410]
Within the Rock,1996,[411]
Without Warning,1980,[412]
The Wizard of Mars,1965,[413]
The World's End,2013,[6]
The X-Files: Fight the Future,1998,X-Files[195]
The X-Files: I Want to Believe,2008,X-Files
The X from Outer Space,1967,[414]
X-Men: Dark Phoenix,2019,Marvel - X-Men[415]
Xtro,1982,Xtro[416]
Xtro II: The Second Encounter,1991,Xtro[417]
Xtro 3: Watch the Skies,1995,Xtro[418]
Zack Snyder's Justice League,2021,DC Extended Universe
Zarkorr! The Invader,1995,[419]
Zathura: A Space Adventure,2005,Jumanji[420]
Zenon: The Zequel,2001,[421]
Zeta One,1969,[361]
Zombies of the Stratosphere,1952,[422]
Zone Troopers,1985,[423]
"Zontar, the Thing from Venus",1966,[196],
The Tomorrow War,2021,[424],
